,Latitude,Longitude,Temperature (F),Humidity,Wind Speed (mph),Cloudiness %
Hithadhoo,-0.6,73.08,83.85,100,13.44,88
Roros,62.57,11.38,14.0,100,5.82,90
Flinders,-34.58,150.85,77.0,61,18.34,75
Sitka,37.17,-99.65,30.3,67,6.17,36
Constantine,36.36,6.61,35.6,100,3.04,12
Port-Gentil,-0.72,8.78,77.64,100,4.5,76
Saint Anthony,43.97,-111.68,23.63,84,4.7,90
Upernavik,72.79,-56.15,11.35,100,13.78,20
Panaba,21.28,-88.27,63.78,65,4.72,0
Hamilton,32.3,-64.78,69.8,68,34.45,90
Huarmey,-10.07,-78.15,59.46,86,2.93,0
Nago,45.88,10.89,34.38,58,3.36,0
Stirion,38.4,22.72,21.88,100,2.59,0
Hay River,60.82,-115.79,24.8,79,10.29,40
Tokmak,47.26,35.7,39.97,98,4.94,80
Dikson,73.51,80.55,15.18,92,33.35,56
Alta Floresta,-9.87,-56.08,73.68,98,2.04,32
College,64.86,-147.8,7.92,87,3.36,90
La Plata,-34.92,-57.95,68.92,100,4.7,40
Adrar,27.87,-0.29,44.6,82,9.17,0
Jiuquan,39.73,98.49,0.87,73,1.92,0
Tasiilaq,65.61,-37.64,35.6,80,31.09,80
Cherskiy,68.75,161.3,-21.5,63,4.61,48
Rohnert Park,38.34,-122.7,46.9,100,2.04,40
San Quintin,17.54,120.52,82.59,62,5.95,0
Henties Bay,-22.12,14.28,57.39,100,4.5,68
Vallenar,-28.58,-70.76,57.75,79,2.15,0
Dingle,11.0,122.67,82.59,74,13.78,36
Nieuw Amsterdam,5.88,-55.08,75.2,94,2.24,40
Kununurra,-15.77,128.74,107.6,25,6.93,0
Bredasdorp,-34.53,20.04,64.4,77,1.12,24
Georgetown,6.8,-58.16,75.2,100,4.7,75
Saint-Augustin,44.83,-0.61,38.59,100,4.7,0
Inongo,-1.93,18.29,71.65,100,2.93,12
Darhan,49.49,105.92,-9.85,47,2.93,0
Biltine,14.53,20.93,55.18,43,7.4,0
Yellowknife,62.45,-114.38,24.8,85,11.41,75
Rocha,-34.48,-54.34,68.95,99,4.61,92
Springbok,-29.67,17.88,44.43,90,3.49,20
Nanortalik,60.14,-45.24,30.12,89,32.68,0
Broome,52.47,1.45,38.62,88,1.12,68
Vangaindrano,-23.35,47.6,72.73,100,2.71,88
Rondonopolis,-16.46,-54.64,74.62,82,4.05,0
Mayumba,-3.44,10.65,77.46,98,6.62,76
Kodiak,39.95,-94.76,37.8,75,8.05,1
Vardo,39.62,-77.74,36.21,43,6.93,90
La Ronge,55.1,-105.3,21.2,85,10.29,5
Naryan-Mar,67.67,53.09,24.81,94,4.72,92
Pevek,69.7,170.27,-3.28,100,21.83,76
Mokshan,53.44,44.61,27.06,100,8.75,92
Aksu,52.04,76.93,14.0,92,6.71,90
Saint-Philippe,45.36,-73.48,19.15,85,6.93,90
Atar,20.52,-13.05,50.1,53,6.62,0
Ejido,8.55,-71.24,53.83,94,1.59,8
Yulara,-25.24,130.99,102.2,17,11.41,24
Gravdal,59.79,5.78,32.88,69,11.41,0
East London,-33.02,27.91,64.4,88,10.29,0
Ambilobe,-13.19,49.05,68.77,91,2.71,20
Cayenne,4.94,-52.33,73.4,100,2.24,90
Sistranda,63.73,8.83,32.0,100,14.99,40
Lebu,8.96,38.73,50.0,76,4.7,12
Los Llanos de Aridane,28.66,-17.92,66.2,72,10.29,0
Egvekinot,66.32,-179.17,3.03,70,12.55,56
Port Blair,11.67,92.75,82.14,100,17.58,56
Vila Franca do Campo,37.72,-25.43,66.2,88,27.51,75
Vila Velha,-3.71,-38.6,80.6,78,14.99,75
Nowa Ruda,50.58,16.5,33.8,93,8.05,75
Victoria,5.28,115.24,89.6,70,3.36,75
Fortuna,38.18,-1.13,52.68,62,8.05,0
Takoradi,4.89,-1.75,79.44,100,2.59,44
Usinsk,66.0,57.56,23.37,96,7.18,88
Airai,-8.93,125.41,79.89,87,1.7,32
Port Alfred,-33.59,26.89,69.27,93,11.54,0
Windsor,42.3,-83.03,29.64,74,5.06,90
Havelock,34.88,-76.9,33.53,96,3.36,1
Vestmannaeyjar,63.44,-20.27,43.48,96,32.91,92
Preobrazheniye,42.9,133.91,14.46,59,2.59,0
Sawakin,19.1,37.33,71.02,98,7.18,100
Magadi,12.96,77.22,74.23,65,3.36,88
Qaanaaq,77.48,-69.36,4.02,94,5.17,88
Manado,1.49,124.85,79.48,90,2.15,100
Ugra,54.78,34.32,25.89,94,3.49,88
Terra Santa,-2.1,-56.49,77.77,87,4.94,36
Kaeo,-35.1,173.78,65.31,99,5.61,92
Auki,12.18,6.51,63.1,38,10.09,0
Norman Wells,65.28,-126.83,-2.21,84,21.92,90
Srednekolymsk,67.46,153.71,-26.14,40,2.48,48
Astana,51.13,71.43,-7.61,83,6.71,0
Suntar,62.16,117.65,-9.53,68,6.4,44
Sarakhs,36.54,61.16,50.0,61,18.34,0
Sangar,63.92,127.47,-27.98,44,5.5,56
Kavieng,-2.57,150.8,86.37,100,1.92,20
Ulladulla,-35.36,150.48,77.0,61,18.34,75
Bilibino,68.06,166.44,-29.33,45,2.04,56
Nikolskoye,59.7,30.79,32.0,93,6.71,90
Mountain Home,43.13,-115.69,35.38,64,13.87,90
Jalu,29.03,21.55,42.67,79,3.04,0
Ukiah,39.15,-123.21,55.04,68,6.93,90
Nabire,-3.36,135.5,80.65,81,2.59,0
Taltal,-25.41,-70.49,58.42,92,2.04,0
Mandalgovi,45.76,106.27,3.48,55,3.94,0
Ponta do Sol,-20.63,-46.0,63.15,91,2.93,32
Mongoumba,3.64,18.59,69.4,99,1.92,12
Auchi,7.07,6.27,67.15,96,4.5,0
Kinwat,19.62,78.2,66.39,56,3.38,0
Palmares do Sul,-30.26,-50.51,76.02,77,9.64,12
Luderitz,-26.65,15.16,57.07,94,6.62,88
Castro,-42.48,-73.76,46.4,87,5.82,20
Sao Joao do Piaui,-8.36,-42.25,77.32,61,10.42,20
Guarapari,-20.67,-40.5,75.2,94,3.36,0
Anito,12.45,125.29,79.57,100,13.67,44
Olmos,-5.99,-79.75,69.99,68,1.92,92
Riohacha,11.54,-72.91,80.47,85,12.55,0
Zacualpan,21.25,-105.17,73.4,100,1.14,75
Katsuura,33.93,134.5,53.13,76,11.41,75
Channel-Port aux Basques,47.57,-59.14,33.09,100,15.57,88
Linxia,35.6,103.21,20.62,54,2.15,12
Brunswick,52.26,10.53,35.38,86,5.82,75
Dzhebariki-Khaya,62.22,135.8,-35.86,68,2.59,32
Trincomalee,8.58,81.23,75.66,89,5.61,32
Cabo San Lucas,22.89,-109.91,68.0,72,4.7,75
Nome,30.04,-94.42,44.55,82,6.93,1
Bambous Virieux,-20.34,57.76,82.4,74,11.41,40
Souillac,45.6,-0.6,35.6,100,3.36,92
Avarua,-21.21,-159.78,75.2,94,14.45,90
Bukachacha,52.99,116.91,-16.87,68,3.49,44
Lumut,-8.46,120.34,82.77,87,4.16,20
Sao Filipe,14.9,-24.5,75.21,94,16.69,0
Amahai,-3.31,129.0,86.37,99,5.95,24
Saint George,39.45,22.34,34.86,62,1.48,20
Thohoyandou,-22.97,30.46,55.63,94,2.48,0
Hasaki,35.73,140.83,46.4,93,8.05,75
Mackay,53.65,-115.58,24.82,79,4.7,90
Kaitangata,-46.28,169.85,60.85,80,16.46,8
The Valley,18.22,-63.06,78.8,78,9.17,20
Cockburn Town,21.46,-71.14,80.07,100,1.14,32
Rajapolah,-7.24,108.18,78.4,82,2.71,44
Bonthe,7.53,-12.5,77.55,95,2.37,0
Chokurdakh,70.62,147.9,-32.93,58,3.71,48
Matagalpa,12.92,-85.92,66.39,89,4.5,100
Jatai,28.97,76.18,55.86,98,6.96,76
Bethel,60.79,-161.76,16.97,92,14.99,90
Bereda,43.27,-7.54,39.2,100,6.93,90
Marawi,8.0,124.29,79.98,75,2.04,80
Nizwa,22.93,57.53,49.33,82,3.49,0
Aklavik,68.22,-135.01,-9.41,76,6.93,90
Halkirk,52.28,-112.15,26.07,79,12.66,64
Garwolin,51.9,21.61,33.8,94,5.82,68
Hambantota,6.12,81.12,77.0,100,5.82,75
Yumen,40.29,97.04,3.48,70,9.53,0
Sawtell,-30.38,153.1,76.51,78,6.93,90
Vrangel,42.73,133.08,23.37,100,16.8,0
Pisco,-13.71,-76.2,66.2,82,4.7,0
Leningradskiy,69.38,178.42,2.62,100,27.09,56
Hilo,19.71,-155.08,73.94,81,5.82,75
Florianopolis,-27.6,-48.55,75.2,83,9.17,0
Along,28.17,94.8,58.11,36,2.04,0
Sao Jose da Coroa Grande,-8.9,-35.15,75.93,94,8.63,92
Belaya Gora,68.54,146.19,-41.71,0,2.93,32
Bilma,18.69,12.92,42.58,67,3.15,0
Olavarria,-36.89,-60.32,65.8,64,15.01,0
Calderitas,18.55,-88.26,64.4,77,11.54,5
Qaqortoq,60.72,-46.03,26.02,90,24.29,8
Maroantsetra,-15.43,49.74,75.12,99,0.58,76
Kruisfontein,-34.0,24.73,63.15,89,14.12,0
Bowen,-20.01,148.25,84.2,74,17.22,40
Namatanai,-3.66,152.44,85.15,100,3.6,36
Arcachon,44.65,-1.18,38.12,100,3.36,90
La Rioja,-29.41,-66.86,82.45,44,10.2,0
Port Hedland,-20.31,118.58,113.0,5,8.05,0
Butaritari,3.07,172.79,85.2,100,10.65,32
Neiafu,-18.65,-173.98,80.6,65,4.7,40
Valparai,10.33,76.96,82.4,69,3.36,0
Serenje,-13.23,30.22,61.17,99,3.49,92
Brandon,43.59,-96.57,18.23,92,8.41,1
Bertoua,4.58,13.68,68.05,67,5.06,48
Ruteng,-8.61,120.46,82.77,87,4.16,20
Cap Malheureux,-19.98,57.61,82.4,74,11.41,40
San Vicente,13.64,-88.78,71.6,53,6.93,0
Alofi,-19.06,-169.92,75.2,83,5.82,75
Karangasem,-6.7,108.49,83.13,100,1.7,44
Aquiraz,-3.9,-38.39,80.6,78,14.99,75
Grand Gaube,-20.01,57.66,82.4,74,11.41,40
Mandal,48.82,106.5,-5.71,49,3.38,0
Devecser,47.1,17.44,32.0,90,4.7,90
Wabana,47.63,-52.95,17.6,92,6.93,20
Codrington,-28.95,153.24,82.94,51,12.75,75
Machico,32.7,-16.77,62.6,72,3.36,20
Bichura,50.59,107.6,3.7,67,3.15,56
Barentu,15.11,37.59,58.65,94,2.71,0
Hofn,64.25,-15.21,43.17,94,21.16,92
Bubaque,11.28,-15.83,80.02,100,13.44,0
The Pas,53.82,-101.24,15.8,85,8.05,1
Asosa,10.07,34.53,59.05,81,2.15,8
Christchurch,-43.53,172.64,60.8,82,12.75,92
Townsville,-19.26,146.82,86.0,79,16.11,20
Severomorsk,69.07,33.42,15.8,92,6.96,0
Faanui,-16.48,-151.75,83.31,100,8.63,8
Gondanglegi,-7.75,112.01,86.1,69,3.71,24
Moose Factory,51.26,-80.61,-9.41,83,2.93,1
Constitucion,23.99,-104.67,52.03,52,8.41,8
Chuy,-33.69,-53.46,70.03,97,6.17,92
Alindao,5.04,21.21,62.43,78,3.04,24
Provideniya,64.42,-173.23,8.6,60,16.69,90
Nantucket,41.28,-70.1,28.81,81,4.7,75
Tungao,8.78,125.57,82.23,93,2.15,12
Batagay-Alyta,67.8,130.41,-35.14,60,2.71,44
Biharamulo,-2.64,31.31,60.67,100,3.38,92
Paka,45.29,18.06,37.4,74,8.05,0
Lubbock,33.58,-101.86,45.0,79,8.05,75
Arapongas,-23.42,-51.43,78.8,54,9.19,0
Malinovskiy,54.15,34.53,27.28,92,9.19,80
Padang,-0.92,100.36,84.2,74,3.36,20
Nizhniy Tsasuchey,50.52,115.13,8.61,61,13.0,36
Tiksi,71.64,128.87,-14.98,66,25.64,64
Axim,4.87,-2.24,81.6,100,6.96,32
Lompoc,34.64,-120.46,53.04,81,4.7,1
Yerbogachen,61.28,108.01,-2.87,73,7.74,76
Chalmette,29.94,-89.96,39.61,65,3.36,1
Burns Lake,54.23,-125.76,30.52,77,8.41,24
Quesnel,52.98,-122.49,35.6,80,5.82,90
Pag,44.45,15.06,39.97,100,5.17,24
Saldanha,41.42,-6.55,26.34,82,3.49,0
Longyearbyen,78.22,15.63,17.6,67,18.34,75
Santo Antonio do Ica,-3.1,-67.94,74.58,98,3.49,12
Wucheng,29.09,119.57,40.02,76,3.15,8
Filadelfia,-22.35,-60.04,88.26,49,14.45,0
Carnarvon,-30.97,22.13,52.98,35,5.39,0
Severodvinsk,64.56,39.82,17.6,92,2.24,90
Worthing,50.81,-0.37,41.85,100,3.36,75
Avera,33.19,-82.53,36.36,86,4.7,1
Ribeira Grande,38.52,-28.7,66.03,96,32.68,92
Roberval,48.51,-72.22,-3.5,76,4.5,32
Shellbrook,53.22,-106.39,8.6,84,9.17,20
Russell,-33.01,-68.8,56.49,38,3.38,0
Belmonte,40.36,-7.35,29.4,76,3.04,0
Labuhan,-2.54,115.51,85.56,75,3.04,44
Ternate,14.29,120.72,93.2,38,18.34,20
Porto Novo,-23.68,-45.44,71.6,68,3.36,0
Ponta Delgada,37.73,-25.67,66.2,88,27.51,75
Qiqihar,47.35,123.91,5.32,68,5.17,24
Necochea,-38.55,-58.74,62.92,93,13.67,44
Motala,58.54,15.04,34.25,80,9.17,80
Bulgan,48.81,103.53,-5.8,50,1.7,0
Amazar,53.86,120.88,-21.01,56,3.38,36
Geraldton,49.72,-86.95,17.6,85,3.36,90
Moulins,46.57,3.33,24.8,92,6.51,90
Comodoro Rivadavia,-45.87,-67.48,60.8,36,12.75,0
Pudozh,61.81,36.54,25.03,93,7.96,92
Porto Walter,-8.27,-72.74,75.97,88,3.38,8
Baijiantan,45.63,85.18,-17.14,49,2.15,44
Torbay,47.66,-52.73,17.6,92,6.93,20
Movila,44.77,25.57,32.92,85,3.36,75
Tura,25.52,90.21,65.4,80,4.05,0
Ilulissat,69.22,-51.1,14.0,85,6.93,32
Pangai,-19.8,-174.35,78.8,69,5.82,40
Iqaluit,63.75,-68.52,-0.41,77,14.79,75
Nizhniy Kuranakh,58.84,125.49,-17.0,71,2.93,68
Yar-Sale,66.83,70.83,16.93,91,10.09,80
Clyde River,70.47,-68.59,-0.41,77,3.36,20
Kangaatsiaq,68.31,-53.46,14.37,100,2.48,20
Paamiut,61.99,-49.67,32.55,92,11.99,88
Velyka Oleksandrivka,47.32,33.3,32.46,96,15.12,92
Kantunilkin,21.1,-87.49,62.6,82,5.82,75
Kloulklubed,7.04,134.26,84.3,98,12.77,76
Inhambane,-23.87,35.38,70.71,100,11.77,68
Pokrovsk,48.28,37.18,39.3,97,15.57,92
Pundaguitan,6.37,126.17,83.94,96,4.72,0
Rio Bueno,18.47,-77.46,78.8,69,6.93,20
Ixtapa,20.71,-105.21,73.4,100,1.14,75
Hami,42.84,93.51,0.82,49,6.06,0
Maniitsoq,65.42,-52.9,17.52,99,4.94,36
Zemio,5.02,25.13,61.75,75,2.71,20
Sabang,13.72,123.58,82.18,87,13.78,12
Huesca,42.14,-0.41,35.6,100,2.24,90
Imeni Poliny Osipenko,52.42,136.49,-13.54,63,1.59,8
Gardelegen,52.53,11.39,36.87,89,8.97,88
Hoquiam,46.98,-123.89,47.39,79,5.82,20
Goderich,43.74,-81.71,34.08,86,11.21,88
Kavali,14.91,79.99,75.52,83,4.16,0
Juneau,58.3,-134.42,33.8,96,5.82,90
Ilheus,-14.79,-39.05,75.66,100,5.17,92
Mlowo,-9.01,33.0,61.93,97,2.48,92
Pontes e Lacerda,-15.23,-59.33,73.59,91,3.6,0
Klaksvik,62.23,-6.59,48.2,93,17.22,80
Houston,29.76,-95.37,51.53,71,7.63,1
Mecca,21.43,39.83,59.55,86,2.59,8
North Platte,41.12,-100.77,24.98,84,5.82,1
Naze,5.43,7.07,75.12,83,6.73,12
Gizo,31.8,34.94,61.05,67,12.75,20
Lagoa,37.14,-8.45,51.8,93,4.7,20
Kuching,1.56,110.34,84.2,79,6.93,75
Panguna,-6.32,155.48,85.78,78,2.93,12
Emba,34.81,32.42,62.33,63,17.22,75
Bushehr,28.97,50.84,62.83,72,11.41,0
Palmer,61.6,-149.11,28.67,88,3.36,90
Karlshamn,56.17,14.86,34.77,100,5.82,36
Larkana,27.56,68.21,51.9,94,3.15,8
Gobo,33.89,135.15,54.5,66,23.04,40
Kenai,60.55,-151.26,27.5,92,4.7,90
Margate,-43.03,147.26,75.2,44,19.46,20
Kahului,20.89,-156.47,73.62,73,23.04,40
Rio Grande,-32.03,-52.1,72.37,87,6.73,88
Caravelas,-17.73,-39.27,78.85,100,11.43,56
Azuaga,38.26,-5.68,45.78,97,3.15,88
Anadyr,64.73,177.51,-13.01,75,13.42,0
Ostrovnoy,68.05,39.51,23.64,93,9.19,80
Brae,60.4,-1.35,47.43,81,20.8,64
Morondava,-20.3,44.28,79.44,98,3.15,44
Opuwo,-18.06,13.84,50.91,59,3.04,0
Portland,45.52,-122.67,46.62,89,12.75,90
Verkhnevilyuysk,63.45,120.31,-15.25,68,4.94,68
Nioro,13.79,-15.05,62.61,70,3.15,0
Okitipupa,6.5,4.78,74.13,94,2.37,0
Pimentel,-3.7,-45.5,74.49,96,2.93,92
Hobyo,5.35,48.53,77.73,89,14.56,8
Tiznit,29.7,-9.73,50.55,95,2.48,0
Coquimbo,-29.95,-71.34,60.8,82,8.97,0
Nurpur,32.3,75.88,47.94,93,3.94,92
Ta Khmau,11.48,104.95,86.0,66,5.82,20
Lixourion,38.2,20.43,42.8,93,4.7,40
Vao,59.1,26.19,30.88,93,7.96,88
Manokwari,-0.87,134.08,84.3,99,4.38,8
Byron Bay,-28.65,153.62,81.99,65,14.99,44
Aykhal,65.95,111.51,-15.7,44,6.17,12
Kaputa,-8.47,29.66,62.92,97,2.48,92
Kutum,14.2,24.66,42.85,61,7.07,0
Bandarbeyla,9.49,50.81,78.4,100,17.81,12
Kattivakkam,13.22,80.32,80.6,83,4.7,20
Khani,41.96,42.96,50.0,81,16.11,90
Dunedin,-45.87,170.5,56.94,87,7.63,48
Warri,5.52,5.75,74.98,91,5.61,8
Reconquista,-29.14,-59.64,78.8,78,26.4,90
Sibu,2.29,111.83,86.0,74,3.36,75
Micheweni,-4.97,39.83,81.33,100,8.63,68
Mount Gambier,-37.83,140.78,84.2,35,17.22,24
Taupo,-38.68,176.08,62.47,97,3.49,68
Beaune,47.02,4.84,28.35,86,8.05,0
Vega de Alatorre,20.03,-96.65,61.35,98,1.03,92
Kirakira,-10.46,161.92,84.07,100,3.04,36
Coahuayana,18.62,-100.35,63.1,73,1.92,0
Tiarei,-17.53,-149.33,80.6,78,9.17,75
Bahia Blanca,-38.72,-62.27,69.27,51,7.4,0
Zima,53.93,102.05,5.64,80,4.72,64
Pokosnoye,55.53,101.05,1.23,78,2.48,80
Itamaraca,-7.75,-34.83,76.87,74,11.41,75
Nefteyugansk,61.09,72.61,5.0,92,6.71,90
Tatarsk,55.22,75.96,1.23,82,3.38,92
Laizhou,37.18,119.93,35.2,96,10.2,0
Simpang,4.82,100.71,86.09,79,6.93,75
Talnakh,69.49,88.39,10.9,90,7.63,88
Mirabad,28.27,61.33,25.44,68,2.71,0
Visby,57.64,18.3,37.4,93,12.75,80
Ilhabela,-23.78,-45.36,75.93,94,11.77,0
Bekhtery,46.25,32.3,33.8,100,13.42,90
Bud,62.91,6.91,30.31,86,9.17,0
Gataivai,-13.77,-172.39,75.2,94,4.7,90
Champerico,16.38,-93.6,66.2,72,6.93,40
Esperance,10.24,-61.45,75.2,100,6.51,20
Dawei,14.07,98.19,81.15,69,5.95,0
Taoudenni,22.68,-3.98,47.49,60,5.39,0
Tilichiki,60.47,166.1,-30.55,50,3.49,0
Podyuga,61.09,40.86,26.07,94,3.15,88
Mahibadhoo,3.78,72.97,83.31,100,10.98,92
Namibe,-15.19,12.15,68.64,100,5.06,0
Santa Cruz de Tenerife,28.47,-16.25,66.2,63,9.17,20
Brekstad,63.69,9.67,26.74,100,14.99,40
Broken Hill,-31.97,141.45,93.2,21,20.8,40
Lithakia,37.72,20.83,42.8,93,4.7,40
Tautira,-17.73,-149.15,80.6,78,9.17,75
Kandiari,26.92,68.52,52.93,97,3.38,0
Nishihara,35.74,139.53,47.57,76,3.36,75
Yarada,17.65,83.27,80.6,65,4.7,0
Black River,18.03,-77.85,78.8,69,6.93,20
Abu Dhabi,24.47,54.37,72.46,69,10.29,40
Escanaba,45.75,-87.06,26.76,84,3.04,90
Miyako,33.63,130.94,51.89,57,13.87,75
Kieta,-6.22,155.63,80.52,100,2.93,24
Sal Rei,16.18,-22.92,71.6,60,14.99,0
Mount Isa,-20.73,139.49,102.2,27,14.99,0
Beringovskiy,63.05,179.32,-1.88,100,20.27,8
La Libertad,-16.38,-71.56,35.7,82,0.36,0
Sahuaripa,29.05,-109.23,55.14,66,2.37,88
Kalengwa,-13.47,25.0,60.99,98,3.04,24
Pangody,65.85,74.49,14.77,88,7.74,80
Ocean City,30.44,-86.61,35.33,96,3.71,1
Coihaique,-45.58,-72.07,47.01,57,9.17,0
Fuerte Olimpo,-21.04,-57.87,77.77,77,4.38,8
Kavaratti,10.57,72.64,82.68,100,7.74,44
Miragoane,18.44,-73.09,79.12,100,4.72,36
Moengo,5.62,-54.4,74.17,99,2.48,92
Ahipara,-35.17,173.16,68.28,76,8.19,24
Jacksonville Beach,30.29,-81.39,42.53,100,3.6,1
Fort Nelson,58.81,-122.69,17.6,85,2.15,75
Ammon,43.47,-111.97,24.57,87,2.93,75
Setermoen,68.86,18.35,14.0,92,14.99,80
Ayia Galini,35.1,24.68,47.26,93,11.41,40
Port Augusta,-32.49,137.76,89.6,31,12.75,75
Wenling,28.38,121.38,47.53,100,13.56,0
Abidjan,5.32,-4.02,78.8,94,1.12,20
Griffith,-34.29,146.06,79.56,78,9.17,92
Kapit,2.02,112.94,78.63,93,2.48,64
Laguna,27.52,-110.01,62.2,82,2.48,92
Viedma,-40.81,-62.99,59.01,56,2.71,20
Pho Chai,16.33,103.77,78.8,50,12.75,75
Qasigiannguit,68.82,-51.19,14.0,85,6.93,32
Sao Joao da Barra,-21.64,-41.05,78.36,99,16.24,80
Mulheim-Karlich,50.38,7.5,33.24,100,3.36,40
Najran,17.54,44.22,60.8,38,2.59,0
Poltavka,54.36,71.76,-14.93,68,3.15,20
Oranjemund,-28.55,16.43,62.34,97,3.6,100
Joao Pinheiro,-17.74,-46.17,65.76,92,4.94,36
Lavrentiya,65.58,-170.99,15.0,100,30.33,88
San Patricio,-26.98,-56.83,84.7,52,5.39,44
Bathsheba,13.22,-59.52,78.8,78,23.04,20
Oksfjord,70.24,22.35,31.39,86,8.05,92
Prince Rupert,54.32,-130.32,39.2,93,12.75,90
Asheboro,35.71,-79.81,27.91,97,3.6,1
Ust-Tsilma,65.44,52.15,19.27,91,2.59,88
Loukhi,66.08,33.04,23.95,86,4.16,48
Gimli,50.63,-96.99,10.41,85,5.06,64
Dariba,24.95,74.13,66.2,55,3.36,0
Shimoda,34.7,138.93,54.82,93,10.29,75
Acapulco,16.86,-99.88,80.6,88,4.72,40
Hastings,-39.64,176.84,63.73,100,2.71,80
Mayo,63.59,-135.9,17.6,92,2.24,40
Alice Springs,-23.7,133.88,105.8,11,5.82,68
Ayan,40.67,33.6,18.59,80,2.04,32
Aranos,-24.14,19.11,66.47,27,6.62,0
Jasper,33.83,-87.28,28.81,100,5.06,32
Jieshi,22.82,115.83,65.39,100,13.89,8
Evensk,61.92,159.24,-6.34,100,5.5,0
Tacuarembo,-31.73,-55.98,69.53,99,8.19,92
Alaca,40.17,34.84,28.18,93,0.92,76
Onda,39.96,-0.26,47.32,75,2.24,0
Sola,58.89,5.65,29.93,92,1.12,0
Massaguet,12.48,15.44,62.6,29,5.82,0
Vuktyl,63.86,57.31,21.43,90,2.93,80
Albanel,48.88,-72.44,-9.58,67,4.38,20
